round,mode,stake,wealth,offer_amount,offer_share,accept_reject,bot_action,bot_beliefs,inferred_type,decision_rationale,expected_accept_prob,expected_value,cumulative_payoffs
1,human_proposer_vs_bot_responder,200,1,40,0.2,reject,reject,"{""money_maximizer"":0.2853610209342083,""fairness_sensitive"":0.04151268061431557,""stake_sensitive"":0.5591829259835094,""noisy"":0.11394337246796679}",stake_sensitive,Observed human offer 20%; inferred proposer type stake_sensitive (0.56). Belief 0.56 stake_sensitive; offer 20% vs expected 22.5% -> accept prob 0.35; reject.,0.3466,13.8642,"{""human"":0,""bot"":0}"
2,human_proposer_vs_bot_responder,200,1,50,0.25,accept,accept,"{""money_maximizer"":0.061763855828916914,""fairness_sensitive"":0.02648300975087498,""stake_sensitive"":0.854259852912448,""noisy"":0.05749328150776016}",stake_sensitive,Observed human offer 25%; inferred proposer type stake_sensitive (0.85). Belief 0.85 stake_sensitive; offer 25% vs expected 27.1% -> accept prob 0.5; accept.,0.5013,25.0642,"{""human"":150,""bot"":50}"
3,human_proposer_vs_bot_responder,200,1,60,0.3,accept,accept,"{""money_maximizer"":0.017689320420047994,""fairness_sensitive"":0.023331435136789397,""stake_sensitive"":0.9349731050801656,""noisy"":0.024006139362997007}",stake_sensitive,Observed human offer 30%; inferred proposer type stake_sensitive (0.93). Belief 0.93 stake_sensitive; offer 30% vs expected 28.1% -> accept prob 0.69; accept.,0.6929,41.5754,"{""human"":290,""bot"":110}"
4,human_proposer_vs_bot_responder,200,1,70,0.35,reject,reject,"{""money_maximizer"":0.011104753666208457,""fairness_sensitive"":0.033216848152124584,""stake_sensitive"":0.9428946054080248,""noisy"":0.012783792773642168}",stake_sensitive,Observed human offer 35%; inferred proposer type stake_sensitive (0.94). Belief 0.94 stake_sensitive; offer 35% vs expected 28.3% -> accept prob 0.84; reject. Tremble (0.03) flipped baseline response.,0.8442,59.0973,"{""human"":290,""bot"":110}"
5,human_proposer_vs_bot_responder,200,1,40,0.2,reject,reject,"{""money_maximizer"":0.01313467127734018,""fairness_sensitive"":0.01097084951780332,""stake_sensitive"":0.9670451642821257,""noisy"":0.00884931492273081}",stake_sensitive,Observed human offer 20%; inferred proposer type stake_sensitive (0.97). Belief 0.97 stake_sensitive; offer 20% vs expected 28.1% -> accept prob 0.37; reject.,0.3686,14.7431,"{""human"":290,""bot"":110}"
